instance;scenario;node;xcoor;ycoor;service;early;late
C101S10;0;7;40.00;66.00;5.00;44.00;104.00
C101S10;0;12;25.00;85.00;5.00;65.00;125.00
C101S10;0;30;20.00;55.00;5.00;178.00;238.00
C101S10;0;33;8.00;40.00;5.00;163.00;223.00
C101S10;0;39;0.00;45.00;5.00;90.00;150.00
C101S10;0;56;40.00;5.00;5.00;106.00;166.00
C101S10;0;60;35.00;5.00;5.00;10.00;70.00
C101S10;0;71;95.00;35.00;5.00;50.00;110.00
C101S10;0;80;85.00;25.00;5.00;62.00;122.00
C101S10;0;82;75.00;55.00;5.00;150.00;210.00
C101S10;0;86;66.00;55.00;5.00;174.00;234.00
C101S10;0;95;62.00;80.00;5.00;149.00;209.00
C101S10;0;100;55.00;85.00;5.00;148.00;208.00
C101S10;1;13;22.00;75.00;5.00;61.00;121.00
C101S10;1;16;20.00;85.00;5.00;163.00;223.00
C101S10;1;20;30.00;50.00;5.00;95.00;155.00
C101S10;1;26;25.00;55.00;5.00;96.00;156.00
C101S10;1;35;5.00;35.00;5.00;121.00;181.00
C101S10;1;44;32.00;30.00;5.00;136.00;196.00
C101S10;1;53;44.00;5.00;5.00;150.00;210.00
C101S10;1;61;50.00;30.00;5.00;115.00;175.00
C101S10;1;62;50.00;35.00;5.00;178.00;238.00
C101S10;1;68;45.00;30.00;5.00;91.00;151.00
C101S10;1;76;90.00;35.00;5.00;10.00;70.00
C101S10;1;78;88.00;35.00;5.00;98.00;158.00
C101S10;1;86;66.00;55.00;5.00;48.00;108.00
C101S10;2;3;42.00;66.00;5.00;12.00;72.00
C101S10;2;5;42.00;65.00;5.00;57.00;117.00
C101S10;2;7;40.00;66.00;5.00;123.00;183.00
C101S10;2;19;15.00;80.00;5.00;143.00;203.00
C101S10;2;32;10.00;40.00;5.00;173.00;233.00
C101S10;2;37;2.00;40.00;5.00;25.00;85.00
C101S10;2;38;0.00;40.00;5.00;52.00;112.00
C101S10;2;46;30.00;32.00;5.00;166.00;226.00
